design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0266,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0267,001,A,G,chaton,26,4.0,1,yes,C01-1028
0267,001,A,G,chaton,32,1.0,1,yes,C01-1028
0267,001,A,G,octagon 2h,14,1.0,1,yes,C01-1080
0267,001,D,C,chaton,26,4.0,2,yes,C01-1028
0267,001,D,C,chaton,32,1.0,2,yes,C01-1028
0267,001,D,C,octagon 2h,14,1.0,2,yes,BDC-8232
0267,001,D,G,chaton,26,4.0,2,yes,C01-1028
0267,001,D,G,chaton,32,1.0,2,yes,C01-1028
0267,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0268,001,A,G,chaton,26,4.0,1,yes,C01-1028
