family,size,suffix,app_code,match_source,colour_words,erp_name,ambiguous
C01-1028,26,016,GR,name match,Aquamarine,Swarovski PP#1028/26 Aquamarine,
C01-1028,26,017,,accent — no library slot (decided),Blue Zircon,Swarovski PP#1028/26 Blue Zircon,
C01-1028,26,018,,accent — no library slot (decided),Garnet,Swarovski PP#1028/26 Garnet,
C01-1028,26,019,,accent — no library slot (decided),Light Amethyst,Swarovski PP#1028/26 Light Amethyst,
C01-1028,26,020,,accent — no library slot (decided),Peridot,Swarovski PP#1028/26 Peridot,
C01-1028,26,021,RE,name match,Ruby,Swarovski PP#1028/26 Ruby,
C01-1028,26,022,,accent — no library slot (decided),Siam,Swarovski PP#1028/26 Siam,
C01-1028,26,023,,accent — no library slot (decided),Black Diamond,Swarovski PP#1028/26 Black Diamond,
C01-1028,26,024,,accent — no library slot (decided),Light Colorado Topaz,Swarovski PP#1028/26 Light Colorado Topaz,
C01-1028,26,025,,accent — no library slot (decided),Capri Blue,Swarovski PP#1028/26 Capri Blue,
C01-1028,26,035,FU,name match,Fuchsia,Swarovski PP#1028/26 Fuchsia,
C01-1028,26,042,,accent — no library slot (decided),Jonquil,Swarovski PP#1028/26 Jonquil,
C01-1028,32,001,BL,name match,Sapphire,Swarovski PP#1028/32 Sapphire,
C01-1028,32,002,C1,name match (alias),Crystal,Swarovski PP#1028/32 Crystal,
C01-1028,32,005,PI,name match (alias),Rose,Swarovski PP#1028/32 Rose,
C01-1028,32,008,EM,name match,Emerald,Swarovski PP#1028/32 Emerald,
C01-1028,32,009,TO,name match,Topaz,Swarovski PP#1028/32 Topaz,
C01-1028,32,013,AB,name match (alias),AB BL,Swarovski PP#1028/32  AB BL,
C01-1028,32,014,,accent — no library slot (decided),Jet,Swarovski PP#1028/32 Jet,
C01-1028,32,015,,accent — no library slot (decided),Amethyst,Swarovski PP#1028/32 Amethyst,
C01-1028,32,016,GR,name match,Aquamarine,Swarovski PP#1028/32 Aquamarine,
C01-1028,32,017,,accent — no library slot (decided),Blue Zircon,Swarovski PP#1028/32 Blue Zircon,
C01-1028,32,018,,accent — no library slot (decided),Garnet,Swarovski PP#1028/32 Garnet,
C01-1028,32,019,,accent — no library slot (decided),Light Amethyst,Swarovski PP#1028/32 Light Amethyst,
C01-1028,32,021,RE,name match,Ruby,Swarovski PP#1028/32 Ruby,
C01-1028,32,023,,accent — no library slot (decided),Black Diamond,Swarovski PP#1028/32 Black Diamond,
C01-1028,32,024,,accent — no library slot (decided),Light Colorado Topaz,Swarovski PP#1028/32 Light Colorado Topaz,
C01-1028,32,025,,accent — no library slot (decided),Capri Blue,Swarovski PP#1028/32 Capri Blue,
C01-1028,32,026,,accent — no library slot (decided),Chrysolite,Swarovski PP#1028/32 Chrysolite,
C01-1028,32,042,,accent — no library slot (decided),Jonquil,Swarovski PP#1028/32 Jonquil,
C01-1080,14,002,C1,name match (alias),Crystal,Asfour #1080/14 double hole Crystal,
C01-1088,SS29,009,TO,app code used as the name,TO,Swarovski SS#1088/SS29  TO,
C01-8015,20,001,BL,name match (alias),Medium Sapphire,Swarovski Strass #8015/20 one hole Medium Sapphire,
C01-8015,20,002,C1,name match (alias),Crystal,Swarovski Strass #8015/20 one hole Crystal,
C01-8016,14,003,GO,name match,Light Topaz,Swarovski Strass #8016/14 double hole Light Topaz,
C01-8016,14,007,RE,name match (alias),Bordeaux,Swarovski Strass #8016/14 double hole Bordeaux,
C01-8016,14,012,GT,name match,Golden Teak,Swarovski Strass #8016/14 double hole Golden Teak,
C01-8102,20,001,BL,name match (alias),medium Sapph,Swarovski Strass #8102/20 double hole medium Sapph,
C01-8102,20,002,C1,name match (alias),Crystal,Swarovski Strass #8102/20 double hole Crystal,
C01-8115,14,001,BL,name match (alias),Medium Sapphire,Swarovski Strass #8115/14 one hole Medium Sapphire,
C01-8115,14,002,C1,name match (alias),Crystal,Swarovski Strass #8115/14 one hole Crystal,
C01-8115,14,003,GO,name match,Light Topaz,Swarovski Strass #8115/14 one hole Light Topaz,
C01-8115,14,004,GR,name match (alias),Antique Green,Swarovski Strass #8115/14 one hole Antique Green,
C01-8115,14,005,PI,name match,Rosaline,Swarovski Strass #8115/14 one hole Rosaline,
C01-8115,14,006,PU,name match (alias),Blue Violet,Swarovski Strass #8115/14 one hole Blue Violet,
C01-8115,14,007,RE,name match (alias),Bordeaux,Swarovski Strass #8115/14 one hole Bordeaux,
C01-8115,14,008,EM,name match (alias),Emerlad,Swarovski Strass #8115/14 one hole Emerlad,
C01-8115,14,009,TO,name match,Topaz,Swarovski Strass #8115/14 one hole Topaz,
C01-8115,14,010,LP,name match,Light Peridot,Swarovski Strass #8115/14 one hole Light Peridot,
C01-8115,14,011,VL,name match (alias),Violet,Swarovski Strass #8115/14 one hole Violet,
C01-8115,14,013,AB,name match (alias),crystal BL.AB,Swarovski Strass#8115/14 one hole crystal BL.AB,
C01-8115,14,028,DB,name match (alias),Dk Sapph,Swarovski Strass #8115/14 one hole  Dk Sapph,
C01-8641,2012,002,C1,name match (alias),Crystal,Swarovski Strass #8641/20 one hole Crystal,
